player_id,Goals,Assists
1,6,5
2,0,0
3,6,8
4,3,5
5,1,2
6,1,2
7,0,2
8,7,1
9,2,0
10,5,0
11,0,1
12,1,0
13,4,2
14,4,3
15,0,0
16,2,3
17,6,1
18,2,0
19,2,3
20,4,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,1
29,1,0
30,2,2
31,10,7
32,2,3
33,2,6
34,13,2
35,6,12
36,9,6
37,9,4
38,1,1
39,4,0
40,9,5
41,0,0
42,7,2
43,0,0
44,0,2
45,2,1
46,1,0
47,4,1
48,0,0
49,0,0
50,0,0
51,0,0
52,18,12
53,2,4
54,2,1
55,11,9
56,1,5
57,1,1
58,1,0
59,0,0
60,4,1
61,3,3
62,7,2
63,4,3
64,10,3
65,0,0
66,0,0
67,3,1
68,0,0
69,0,2
70,1,2
71,1,1
72,0,0
73,0,0
74,0,1
75,1,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,1,7
82,22,5
83,2,7
84,2,0
85,1,0
86,9,7
87,11,7
88,0,0
89,1,0
90,1,1
91,1,1
92,1,2
93,9,0
94,0,1
95,0,0
96,1,2
97,0,0
98,0,0
99,0,0
100,0,2
101,1,0
102,0,0
103,0,0
104,1,0
105,1,1
106,0,0
107,0,0
108,0,0
109,0,0
110,6,4
111,15,9
112,2,2
113,2,3
114,0,0
115,1,4
116,8,5
117,2,1
118,9,4
119,1,0
120,1,5
121,12,2
122,0,1
123,2,1
124,1,0
125,0,1
126,1,1
127,1,0
128,0,0
129,0,0
130,0,2
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,10,1
137,0,8
138,0,0
139,0,7
140,2,1
141,5,4
142,8,5
143,3,0
144,10,5
145,3,0
146,9,4
147,2,0
148,1,6
149,1,0
150,0,2
151,3,0
152,0,0
153,1,1
154,1,1
155,1,0
156,0,0
157,0,1
158,0,0
159,0,0
160,2,4
161,0,0
162,17,10
163,23,14
164,0,0
165,3,2
166,0,3
167,1,0
168,2,3
169,0,0
170,0,0
171,3,4
172,0,1
173,0,2
174,1,3
175,1,1
176,11,2
177,0,0
178,0,0
179,0,1
180,0,0
181,1,0
182,1,0
183,0,0
184,0,0
185,5,3
186,1,2
187,0,1
188,10,3
189,1,3
190,1,2
191,2,0
192,13,2
193,0,2
194,2,4
195,0,3
196,1,0
197,1,0
198,10,1
199,1,5
200,0,0
201,1,2
202,0,2
203,0,1
204,2,1
205,0,0
206,2,1
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,8,2
214,0,0
215,17,7
216,0,0
217,8,8
218,2,3
219,1,2
220,4,5
221,6,9
222,1,0
223,1,0
224,1,2
225,7,2
226,1,0
227,3,3
228,0,0
229,0,0
230,0,2
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,3,1
237,7,3
238,16,0
239,0,0
240,0,7
241,0,2
242,2,3
243,1,0
244,6,5
245,0,0
246,2,0
247,6,4
248,0,3
249,0,1
250,1,2
251,0,1
252,0,0
253,1,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,2
267,3,5
268,14,5
269,2,2
270,2,0
271,0,2
272,7,6
273,0,2
274,6,10
275,3,1
276,10,0
277,2,1
278,0,0
279,0,0
280,1,0
281,0,0
282,0,0
283,1,1
284,1,1
285,0,0
286,0,0
287,0,0
288,0,0
289,1,3
290,4,1
291,0,0
292,0,0
293,12,5
294,4,2
295,0,0
296,1,0
297,0,1
298,2,0
299,3,4
300,2,3
301,2,1
302,0,1
303,0,2
304,1,0
305,1,0
306,1,0
307,0,0
308,8,0
309,0,0
310,0,2
311,0,0
312,1,1
313,1,0
314,0,0
315,0,0
316,0,0
317,1,0
318,1,1
319,5,1
320,5,6
321,2,2
322,1,1
323,1,0
324,3,0
325,3,2
326,1,1
327,1,1
328,0,1
329,1,0
330,4,3
331,4,0
332,0,0
333,0,0
334,0,0
335,0,1
336,1,0
337,0,1
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,1,0
345,11,2
346,4,6
347,1,1
348,1,5
349,0,1
350,1,3
351,10,1
352,1,1
353,0,1
354,2,0
355,1,1
356,0,2
357,2,3
358,1,0
359,0,1
360,0,0
361,2,1
362,0,0
363,0,0
364,1,0
365,0,0
366,0,0
367,8,7
368,1,1
369,4,5
370,0,0
371,9,5
372,0,2
373,0,1
374,3,0
375,12,4
376,1,1
377,3,3
378,2,3
379,0,0
380,1,0
381,0,0
382,2,0
383,0,0
384,0,0
385,1,1
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,1,0
398,5,0
399,5,5
400,1,0
401,8,2
402,3,8
403,0,0
404,1,1
405,1,0
406,2,1
407,6,1
408,1,1
409,1,1
410,0,0
411,1,1
412,1,0
413,2,1
414,0,0
415,0,1
416,0,0
417,0,0
418,0,1
419,0,0
420,0,0
421,0,0
422,0,0
423,3,3
424,1,0
425,2,5
426,1,1
427,0,0
428,0,1
429,12,3
430,2,0
431,0,1
432,2,0
433,3,2
434,0,0
435,3,0
436,0,1
437,1,2
438,1,1
439,0,0
440,0,0
441,0,0
442,1,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,4,4
451,2,1
452,1,1
453,0,3
454,5,2
455,3,0
456,0,2
457,0,0
458,1,0
459,1,0
460,0,1
461,3,3
462,3,0
463,1,1
464,1,0
465,0,0
466,0,0
467,0,0
468,0,0
469,1,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,1
477,1,3
478,2,0
479,11,6
480,3,1
481,2,2
482,0,2
483,0,0
484,2,1
485,5,0
486,0,0
487,0,1
488,0,0
489,1,0
490,0,0
491,3,2
492,1,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,2,0
499,0,1
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,2
508,0,1
509,0,1
510,0,1
511,0,2
512,8,1
513,0,0
514,0,0
515,0,2
516,1,0
517,1,1
518,1,1
519,1,0
520,0,0
521,2,0
522,1,0
523,0,1
524,3,0
525,0,0
526,0,0
527,1,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
